Kod_Kursus,Nama_Kursus,Tahun_Kursus,Tempoh_Kursus,Bidang,Sub_Bidang,Skim_Gred,Skim_Kod,Nama_Skim
KBA0007,Language Awareness for Communication Success: Basic Grammar,2022,2,BAHASA,English,A29,A,Pengangkutan
KBA0008,Bahasa Mandarin Untuk Interaksi Harian,2022,5,BAHASA,Mandarin,AB22,A,Pengangkutan
KBA0011,Bahasa Mandarin Untuk Khidmat Pelanggan,2022,5,BAHASA,Mandarin,A19,A,Pengangkutan
KBA0012,Enhancing Service Delivery Series: English for Customer Service,2022,2,BAHASA,English,A19,A,Pengangkutan
KBA0013,Enhancing Service Delivery Series: Effective Telephone Skills,2023,2,BAHASA,English,A19,A,Pengangkutan
KBA0014,Power Up Your English: Effective Note Taking And Summarizing Skills,2022,2,BAHASA,English,AL52,A,Pengangkutan
KBA0015,Power Up Your English: Speak Better English,2022,5,BAHASA,English,A44,A,Pengangkutan
KBA0018,Pembinaan Munsyi Muda Bahasa,2022,5,BAHASA,Bahasa Melayu,A22,A,Pengangkutan
KBA0019,Pemantapan Munsyi Muda Bahasa,2023,2,BAHASA,Bahasa Melayu,A41,A,Pengangkutan
KBA0021,"Kursus Penulisan Dokumen Rasmi Kerajaan (Surat Rasmi, Memo, E-Mel)",2021,2,BAHASA,Bahasa Melayu,A41,A,Pengangkutan
KBA0022,"Kursus Penulisan Dokumen Rasmi Kerajaan (Minit Mesyuarat, Kertas Kerja, Laporan)",2022,2,BAHASA,Bahasa Melayu,A44,A,Pengangkutan
KCA0005,Kursus Asas Keselamatan Siber,2023,1,ICT,Pengurusan Keselamatan ICT,A19,A,Pengangkutan
KCA0007,Kursus Analyzing and Visualizing Data Using Excel,2022,3,ICT,Pengurusan Maklumat,A44,A,Pengangkutan
KCA0016,Kursus Pengurusan Projek ICT,2022,3,ICT,Pengurusan Projek ICT,A41,A,Pengangkutan
